Gene	log2FoldChange	AveExpr	t	P.Value	adj.P.Val	B
ENSG00000091831	-3.94819688303889	3.58955288419597	-13.8844980101395	1.69460655810262E-20	2.29882579979275E-17	36.3581960663295
ENSG00000120738	-3.88124396839315	5.21247367674459	-10.5294319163919	2.54716407222262E-15	4.80057727481748E-13	24.4553458008943
ENSG00000184517	-1.85124034463697	4.27324640559697	-10.4234018088785	3.79578300793707E-15	6.63667506158829E-13	24.0552256977895
ENSG00000170345	-4.12962865018986	6.655176563271	-10.0047720723207	1.85522046807202E-14	2.42549184078028E-12	22.4436731186787
ENSG00000143621	1.64052541561477	7.11529799528032	9.36300404514319	2.18448839986567E-13	1.99379217980192E-11	19.9260968084624
ENSG00000164107	-4.04560591888977	0.777141867612593	-9.2630914567801	3.21743989016406E-13	2.68341883253223E-11	19.8530326623068
ENSG00000012048	2.03719422373302	4.99659857779113	8.96128464298573	1.0412236480512E-12	6.59835702206068E-11	18.4602323265024
ENSG00000137309	2.27805041479545	4.76903644584173	8.9372686006054	1.14354950064547E-12	7.04588083095944E-11	18.3983775511828
ENSG00000181722	-1.32381723424021	6.20193861586914	-8.68508200643001	3.06733328643152E-12	1.51743033881606E-10	17.2812137829295
ENSG00000069667	-1.65307034913279	6.82044700785445	-8.60776359310946	4.15414347191218E-12	1.93220929693556E-10	16.9918914808833
ENSG00000143799	1.15113503090127	7.4781704911565	8.53877148965963	5.44680154584248E-12	2.35249952479958E-10	16.7228248248852
ENSG00000103241	-2.3786332268798	0.563619156598251	-8.49210522891703	6.54319782571491E-12	2.75231556077608E-10	16.9140158005115
ENSG00000143257	-2.95410112396528	3.96021394690705	-8.47745266370892	6.93120491210825E-12	2.86568791123974E-10	16.6308070327166
ENSG00000072736	-0.930529574938232	6.34412609237931	-8.23505060435071	1.80028858359139E-11	6.10415605726129E-10	15.5126268470606
ENSG00000101412	3.36953035337989	3.18419967987952	8.10655782412704	2.98885689465566E-11	9.3479075981127E-10	15.3587359680214
ENSG00000112242	1.46288404053103	4.57380180214333	8.01110650835127	4.35721446323482E-11	1.25959952769848E-09	14.7583402584957
ENSG00000125740	-5.17002490536077	3.28871533539038	-7.86766110563949	7.68111993663432E-11	1.98780294384441E-09	14.405978870355
ENSG00000134954	-1.41776623064609	6.34060567168991	-7.80854373919636	9.70401124959485E-11	2.43641195941385E-09	13.8416006306946
ENSG00000163508	-2.50914741573443	0.705586942194559	-7.7884895081789	1.05050420280366E-10	2.61940154486027E-09	14.2037276595531
ENSG00000106290	1.21925461757193	3.97394474645985	7.74575783387438	1.24395619142126E-10	2.98285542633117E-09	13.7787147024979
ENSG00000101057	3.87208632909391	3.43047670870754	7.72443709969475	1.35342772034209E-10	3.1781461290622E-09	13.8731581526634
