gene	sample_101C	sample_101N	sample_111C	sample_111N	sample_112C	sample_112N	sample_29C	sample_29N	sample_34C	sample_34N	sample_48C	sample_48N	sample_55C	sample_55N	sample_57C	sample_57N	sample_91C	sample_91N	sample_94C	sample_94N
A1BG	64	208	98	92	109	168	169	87	97	177	74	112	108	80	67	116	71	110	27	43
A1BG-AS1	83	265	99	109	77	151	159	126	41	136	135	127	82	99	88	103	87	116	43	91
A1CF	255	3111	3703	3946	1924	2361	28	1378	643	2898	916	2274	570	2155	1152	2200	572	2279	1102	2834
A2M	8540	10871	15331	10778	10911	16151	41129	19374	5353	15419	11261	12756	13164	20079	9886	13128	11301	22010	6719	19365
A2M-AS1	443	861	975	748	732	1207	2785	1359	439	1150	827	1052	873	1484	696	1155	661	714	456	935
A2ML1	43	10	26	4	5	6	17	22	6	16	36	16	14	5	5	6	4	5	6	15
A2MP1	4	54	12	6	3	9	9	13	3	23	17	13	1	7	7	7	5	5	3	20
A3GALT2	1	0	12	3	5	2	5	11	2	0	8	5	4	0	3	3	2	5	0	2
A4GALT	213	436	266	204	229	444	881	459	137	135	259	148	985	328	164	150	199	260	196	490
A4GNT	4	4	8	0	2	3	9	6	1	8	4	5	5	6	2	5	3	9	2	1
AA06	0	2	1	0	1	0	1	2	1	1	1	4	0	2	0	0	0	0	0	0
AAAS	985	635	855	548	800	786	815	679	484	616	882	762	1273	843	1151	575	904	673	1205	668
AACS	1161	635	1311	1252	1517	1179	978	786	639	809	1318	1703	2022	1019	1109	782	1587	1143	1316	1224
AACSP1	10	1	6	5	3	1	7	6	3	11	27	1	5	3	3	1	0	0	6	3
AADAC	45	1537	5	1	23	2	4	9	12	0	4	1	14	2	5	3	0	10	1	4
AADACL2	4	9	5	11	12	27	2	18	2	10	8	1	6	5	4	4	12	19	2	13
AADACL3	4	2	27	6	4	1	2	22	0	9	12	6	14	0	3	8	0	1	0	5
AADACL4	1	0	7	0	4	3	2	7	0	4	1	5	4	0	6	0	0	0	0	9
AADAT	343	59	195	82	189	142	101	165	82	115	259	106	228	153	215	62	205	229	254	217
AAED1	181	209	193	122	164	187	376	240	146	184	113	182	305	138	185	135	176	247	168	167
AAGAB	2847	1151	1863	1439	1565	1119	1623	1145	952	1490	1080	2007	1814	1421	1532	1133	1378	2021	2301	1570
